Cluster Number,S1,S2,S3,S4,Cluster Title,Count in Clusters
C1,U190C-86,U1907-09,P0218-22,,Belt tensioner adjust,1274
C2,U190C-86,U190A-09,U1500-88,,Chopper dr belt tensioner adjust,785
C3,B160B-7B,B1651-11,B165E-13,,"Problem with axe , valve or hose",999
C4,U1907-09,U190A-09,C101A-29,,landing scratches and incorrect routing,776
C5,U190C-86,U1907-09,P0710-22,,reel pump melted and tensioner adjust,752
C6,U1917-2F,B1543-4B,P0218-22,,adjust jackshaft and poor alignment,656
C7,U1917-87,B160C-7B,B165E-13,,Trash in stone trap,679
C8,U1917-2F,P0181-27,P0183-24,,paddle chain adjusted,1375
C9,U1904-85,U1907-09,U1500-88,,sieve motor wrong,845
C10,B1555-68,C1019-38,C101A-29,,light switch missing ,580
C11,U190C-86,U1904-85,P0218-22,,Dischrg Btr belt tension,1056
C12,U190C-86,U1907-09,U1911-16,,variable drive belt,549
C13,U1917-2F,U1917-96,P0400-00,,Beater belt misaligned,864
